Title,Date,Year,Month,Day,Day_of_week,show_name,season,episode_name,show_type
Fargo: Season 2: Fear and Trembling,2019-06-29,2019,June,29,Saturday,Fargo, Season 2, Fear and Trembling,TV Show
Fargo: Season 2: The Myth of Sysiphus,2019-06-29,2019,June,29,Saturday,Fargo, Season 2, The Myth of Sysiphus,TV Show
Fargo: Season 2: Before the Law,2019-06-29,2019,June,29,Saturday,Fargo, Season 2, Before the Law,TV Show
Fargo: Season 2: Waiting for Dutch,2019-06-28,2019,June,28,Friday,Fargo, Season 2, Waiting for Dutch,TV Show
Fargo: Season 1: Morton's Fork,2019-06-28,2019,June,28,Friday,Fargo, Season 1, Morton's Fork,TV Show
"Fargo: Season 1: A Fox, a Rabbit and a Cabbage",2019-06-28,2019,June,28,Friday,Fargo, Season 1," A Fox, a Rabbit and a Cabbage",TV Show
Fargo: Season 1: The Heap,2019-06-27,2019,June,27,Thursday,Fargo, Season 1, The Heap,TV Show
Fargo: Season 1: Who Shaves the Barber?,2019-06-27,2019,June,27,Thursday,Fargo, Season 1, Who Shaves the Barber?,TV Show
Fargo: Season 1: Buridan's Ass,2019-06-26,2019,June,26,Wednesday,Fargo, Season 1, Buridan's Ass,TV Show
Fargo: Season 1: The Six Ungraspables,2019-06-26,2019,June,26,Wednesday,Fargo, Season 1, The Six Ungraspables,TV Show
