Title,Date,Year,Month,Day,Day_of_week,show_name,season,episode_name,show_type
Friends: Season 6: The One Where Ross Got High,2019-09-12,2019,September,12,Thursday,Friends, Season 6, The One Where Ross Got High,TV Show
Friends: Season 6: The One with Ross's Teeth,2019-09-12,2019,September,12,Thursday,Friends, Season 6, The One with Ross's Teeth,TV Show
Friends: Season 6: The One Where Phoebe Runs,2019-09-12,2019,September,12,Thursday,Friends, Season 6, The One Where Phoebe Runs,TV Show
Friends: Season 6: The One on the Last Night,2019-09-12,2019,September,12,Thursday,Friends, Season 6, The One on the Last Night,TV Show
Friends: Season 6: The One with Joey's Porsche,2019-09-12,2019,September,12,Thursday,Friends, Season 6, The One with Joey's Porsche,TV Show
Friends: Season 6: The One Where Joey Loses His Insurance,2019-09-11,2019,September,11,Wednesday,Friends, Season 6, The One Where Joey Loses His Insurance,TV Show
Friends: Season 6: The One with Ross's Denial,2019-09-11,2019,September,11,Wednesday,Friends, Season 6, The One with Ross's Denial,TV Show
The World's Most Extraordinary Homes: Season 2 Part B: Spain,2019-09-11,2019,September,11,Wednesday,The World's Most Extraordinary Homes, Season 2 Part B, Spain,TV Show
Friends: Season 6: The One Where Ross Hugs Rachel,2019-09-10,2019,September,10,Tuesday,Friends, Season 6, The One Where Ross Hugs Rachel,TV Show
Friends: Season 6: The One After Vegas,2019-09-10,2019,September,10,Tuesday,Friends, Season 6, The One After Vegas,TV Show
Friends: Season 5: The One in Vegas: Part 2,2019-09-10,2019,September,10,Tuesday,Friends, Season 5, The One in Vegas: Part 2,TV Show
Friends: Season 5: The One in Vegas: Part 1,2019-09-06,2019,September,6,Friday,Friends, Season 5, The One in Vegas: Part 1,TV Show
Friends: Season 5: The One with Joey's Big Break,2019-09-06,2019,September,6,Friday,Friends, Season 5, The One with Joey's Big Break,TV Show
Friends: Season 5: The One with the Ball,2019-09-04,2019,September,4,Wednesday,Friends, Season 5, The One with the Ball,TV Show
Friends: Season 5: The One with the Ride-Along,2019-09-04,2019,September,4,Wednesday,Friends, Season 5, The One with the Ride-Along,TV Show
Friends: Season 5: The One Where Ross Can't Flirt,2019-09-04,2019,September,4,Wednesday,Friends, Season 5, The One Where Ross Can't Flirt,TV Show
Friends: Season 5: The One Where Rachel Smokes,2019-09-04,2019,September,4,Wednesday,Friends, Season 5, The One Where Rachel Smokes,TV Show
Friends: Season 5: The One with Rachel's Inadvertent Kiss,2019-09-03,2019,September,3,Tuesday,Friends, Season 5, The One with Rachel's Inadvertent Kiss,TV Show
Friends: Season 5: The One with the Cop,2019-09-03,2019,September,3,Tuesday,Friends, Season 5, The One with the Cop,TV Show
